p-d-001,Drink,Watson名偵探特調,170,Amelia_Drink.png,奶蓋紅茶
p-d-002,Drink,duzzem!Baelz的混沌蘇打,180,Baelz_Drink.png,蔓越莓汁蘇打
p-d-003,Drink,千杯不醉死神的紅酒替代品,160,Calliope_Drink.png,櫻桃可樂
p-d-004,Drink,德魯伊的治療藥劑,180,Fauna_Drink.png,情人果冰沙
p-d-005,Drink,Gura愛喝的泡泡浴,190,Gura_Drink.png,香草冰淇淋、柑橘蘇打
p-d-006,Drink,混血天使IRyS的行動要領,180,IRyS_Drink.png,石榴葡萄蘇打
p-d-007,Drink,古神指定!少女祭司的觸手果昔,180,Ina_Drink.png,藍莓果昔
p-d-008,Drink,店長的無限復活藥水,180,Kiara_Drink.png,鹽漬柳橙蘇打
p-d-009,Drink,時光典獄長的黑暗回憶,160,Kronii_Drink.png,仙草風味飲
p-d-010,Drink,不眠15小!貓頭鷹的提神特調,170,Mumei_Drink.png,玄米拿鐵(含咖啡)
