p-f-001,Food,小心火燭!偵探的炸廚房炒飯,270,Amelia_Food.png,德式香腸炒飯
p-f-002,Food,有勞贖!混沌的起司饗宴,260,Baelz_Food.png,起司紅醬義大利麵
p-f-003,Food,森大人的粉紅泡泡,230,Calliope_Food.png,巧克力馬卡龍
p-f-004,Food,自然媽媽的沙拉,210,Fauna_Food.png,蘋果生菜沙拉
p-f-005,Food,非急勿食!Bloop與應急糧食們,230,Gura_Food.png,奶酪及柑橘果凍
p-f-006,Food,莓麥喔!混血惡魔的麥片,190,IRyS_Food.png,莓果燕麥杯
p-f-007,Food,Wah!今天不吃餅乾!改吃藍莓蛋糕,230,Ina_Food.png,藍莓蛋糕
p-f-008,Food,店長最愛!KFP唯一指定炸雞,270,Kiara_Food.png,日式唐揚炸雞佐海苔粉及醬料
p-f-009,Food,果汁機禁止!直接吃的墨魚義大利麵,290,Kronii_Food.png,墨魚義大利麵
p-f-010,Food,Mumei最愛吃的蛋糕,230,Mumei_Food.png,培茶蛋糕
